Index,Customer ID, Full Name,Phone 2,Date,active
1,EB54EF11,Heather Callahan,9151121727,1/1/2020,1
2,10dAcafE,Kristina Ferrell,9091727124,1/1/2020,1
3,67DAB15E,Briana Andersen,9671351918,1/1/2020,1
4,6d350C5E,Patty Ponce,9961897767,1/1/2020,1
5,5820deAd,Kathleen Mccormick,9520512979,1/1/2020,1
6,E1CDEaC6,Trevor Lee,9345746361,1/1/2020,1
7,3e1187fC,Mathew Hoffman,9781785447,1/2/2020,1
8,47C5cEE2,Glenn Wiggins,9806867785,1/3/2020,1
9,cacaD68a,Bruce Payne,9662275055,1/3/2020,1
10,436b9c41,Brendan Franco,9546217128,1/3/2020,1
11,9653ca64,Martin Hawkins,9329087945,1/4/2020,1
12,e586A2D6,Sara Shaffer,9010288247,1/4/2020,1
13,c388ECa4,Dave Moran,9620291096,1/4/2020,1
14,f8dddbf9,Glen Hammond,9019558881,1/4/2020,1
15,86Df56BF,Catherine Blackwell,9101853032,1/5/2020,1
16,2cfDE68A,Larry Newton,9014493655,1/5/2020,1
17,14CBc0BD,Danny Archer,9012122343,1/5/2020,1
18,48b3ACBf,Kim Griffin,9061414174,1/5/2020,1
19,dB52fA7B,Kristin Valencia,9244311825,1/5/2020,1
20,e99DcfDa,Hannah Ramsey,9696387026,1/6/2020,1
21,28D7BcC8,Barry Meadows,9010924406,1/7/2020,1
22,Beb0D2e4,Roy Brock,9030400780,1/7/2020,1
23,EFe791B6,Patricia Pope,9863244817,1/8/2020,1
24,Ebe45ac4,Alan Stanton,9950082375,1/8/2020,1
25,E31a9699,Philip Flynn,9819929151,1/8/2020,1
26,0748BdEF,Mackenzie Williamson,9569314990,1/8/2020,1
27,fEB05baE,Emily Calderon,9189085890,1/9/2020,1
28,b9B3B5f1,Roberta Walton,9013245406,1/9/2020,1
29,Fc0Bb9CE,Steve Mack,9610395513,1/10/2020,1
30,B5e2c7Cc,Pedro Jacobson,9753209732,1/10/2020,1
31,3D72031D,Daniel Harper,9544607363,1/10/2020,1
32,84d3FaE8,Danny Mayer,9645390967,1/11/2020,1
33,942FAAB8,Jasmine Owens,9024074926,1/11/2020,1
34,F0EdAbc8,Ashley Davies,9881559696,1/11/2020,1
35,2f4976cc,Shawn Cruz,9158944814,1/11/2020,1
36,fDbB79FA,Francis Hubbard,9827669394,1/12/2020,1
37,E75a5870,Richard Bennett,9519673272,1/12/2020,1
38,4C8E6AA7,Vanessa Hansen,9928497135,1/13/2020,1
39,ec75Fb9C,Joyce Foster,9098344778,1/13/2020,1
40,C2378a0b,Marc Medina,9370636496,1/13/2020,1
41,53D27CbE,Darren Santana,9404741607,1/13/2020,1
42,3bcBa3CB,Mario Moreno,9015929206,1/13/2020,1
43,DFcebf70,Daniel Bush,9099378982,1/15/2020,1
44,fdd4F120,Vanessa Davenport,9015865061,1/15/2020,1
45,FA9584DE,Donald Terry,9050510894,1/15/2020,1
46,fF8bc9C7,Jill Esparza,9531418420,1/16/2020,1
47,6ADbBf35,Tyler Richard,9189396401,1/16/2020,1
48,a75eDF85,Sonya Moore,9019185613,1/17/2020,1
49,E95Ce6e2,Jonathon Gillespie,9530205510,1/18/2020,1
50,3E4Ac207,Ryan Lin,9934137441,1/18/2020,1
51,cFB0d4B9,Joel Thomas,9104971640,1/18/2020,1
52,a0eb3D0b,Judith Fischer,9019297591,1/18/2020,1
53,A8205E5c,Roy West,9014004837,1/19/2020,1
54,047653F3,Rebekah Morton,9488170962,1/20/2020,1
55,83d9acca,Jeremy Guerra,9424738437,1/20/2020,1
56,95CA5DdF,Brett Shelton,9024450497,1/20/2020,1
57,a0003BeC,Gilbert Meza,9652003181,1/21/2020,1
58,fcC8D0ea,Kurt Tapia,9771687134,1/21/2020,1
59,F6De59D2,Sarah Powell,9718886974,1/21/2020,1
60,30Cb5c2C,Andrea Irwin,9489136702,1/21/2020,1
61,b365Aae6,Aimee Hodge,9680098825,1/21/2020,1
62,43f683C3,Doris Drake,9839084861,1/22/2020,1
63,5C533BB1,Randy Tran,9465434319,1/22/2020,1
64,6b3cbCf4,Allison Webster,9129684881,1/23/2020,1
65,DC63a02B,Nicholas Mcclure,9097273778,1/23/2020,1
66,d8cCD02E,Gene Wu,9014143828,1/24/2020,1
67,Ca492c76,Kelli Bridges,9208344618,1/24/2020,1
68,fA99aEF4,Summer Washington,9330266446,1/24/2020,1
69,B5F6D5dB,Ann Ayala,9892497878,1/24/2020,1
70,9bb3fF7D,Alfred Hooper,9802402511,1/25/2020,1
71,21C1a2E1,Brandon Robbins,9340357567,1/25/2020,1
72,eB53B2Fa,Wesley Cobb,9577055396,1/25/2020,1
73,5Baa5DE4,Caleb Salas,9291250365,1/25/2020,1
74,C2f62DB8,George Long,9528634103,1/28/2020,1
75,592e432e,Taylor Kemp,9671771934,1/28/2020,1
76,eAEc7BAD,Steve Horn,9954083334,1/28/2020,1
77,a54A4C6D,Danielle Spears,9792516311,1/28/2020,1
78,BDCCEdcc,Jillian Ortiz,9017908822,1/28/2020,1
79,e8f4b4D1,Joshua Ortega,9015695068,1/29/2020,1
80,45c6AB9e,Sherry Cantu,9058537703,1/29/2020,1
81,7D8EFBe9,Eric Pittman,9725306860,1/29/2020,1
82,fCBFFE1D,Wanda Cowan,9179352327,1/30/2020,1
83,8Dde1eb3,John Chen,9822755459,1/30/2020,1
84,3ACcE1d8,Francisco Stanley,9983411742,1/30/2020,1
85,C68542ae,Dillon Gallegos,9562658970,1/30/2020,1
86,1bD2d3D0,Rebekah Pruitt,9582978985,1/30/2020,1
